real_name,lichess_game_id,eco,opening,structure_family,player_color,player_result
"IM Chan, Kim Yew",1HaCflSu,A04,Zukertort Opening: Kingside Fianchetto,Catalan / Réti Squeeze,black,loss
"GM Vignesh, N R",prbkJXPZ,D96,Grünfeld Defense: Russian Variation,Fianchetto KID / Grünfeld Complexes,black,win
"GM Vignesh, N R",C7pHxJGz,A08,Zukertort Opening: Reversed Grünfeld,Fianchetto KID / Grünfeld Complexes,white,win
"GM Vignesh, N R",Pd61M0OP,B13,Caro-Kann Defense: Exchange Variation,IQP / Panov Attack,black,win
"GM Vignesh, N R",GqBv3fVS,D27,"Queen's Gambit Accepted: Classical Defense, Main Line",IQP / Panov Attack,black,win
"GM Vignesh, N R",v9Dj5gEe,B13,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",IQP / Panov Attack,black,loss
"GM Vignesh, N R",9dkEGbhc,D32,Tarrasch Defense: Symmetrical Variation,IQP / Panov Attack,black,draw
"GM Vignesh, N R",xKzrLemq,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Nb6",Reversed-Sicilian / Flank Annexation,black,win
"GM Vignesh, N R",jARsheSq,A07,King's Indian Attack: Yugoslav Variation,Reversed-Sicilian / Flank Annexation,white,win
"GM Vignesh, N R",86wCQx0n,A07,"King's Indian Attack, with e6",Reversed-Sicilian / Flank Annexation,white,win
"GM Vignesh, N R",wOHJcKwP,A20,English Opening: King's English Variation,Reversed-Sicilian / Flank Annexation,white,win
"GM Vignesh, N R",2IRzWjLI,A22,"English Opening: King's English Variation, Two Knights Variation",Reversed-Sicilian / Flank Annexation,black,win
"GM Vignesh, N R",JI5UbvV9,A22,"English Opening: King's English Variation, Two Knights Variation",Reversed-Sicilian / Flank Annexation,black,win
"IM Chan, Kim Yew",M7514bMy,A05,King's Indian Attack: Symmetrical Defense,Reversed-Sicilian / Flank Annexation,black,win
"IM Chan, Kim Yew",28mOMGR8,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",Reversed-Sicilian / Flank Annexation,black,loss
